"","season","player_id","player","player_first_name","player_last_name","position","snaps","first_season_in_league","year_in_league","season_count","franchise_id","team","waa"
"260",2020,78085,"Jaylon Robinson","Jaylon","Robinson","WR",833,2018,3,2,323,"UCF Knights",0.028
"261",2020,64162,"Tre Caine","Tre","Caine","S",318,2017,4,3,325,"UNLV Rebels",-0.025
"262",2020,84468,"Patrick Ballard","Patrick","Ballard","WR",9,2018,3,2,325,"UNLV Rebels",-0.004
"263",2020,52319,"Randall St. Felix","Randall","St. Felix","WR",272,2017,4,3,327,"USF Bulls",-0.005
"264",2020,86859,"Terrence Horne","Terrence","Horne","WR",35,2018,3,2,327,"USF Bulls",-0.002
"265",2020,41966,"Devaughn Cooper","Devaughn","Cooper","WR",267,2016,5,4,330,"UTEP Miners",-0.006
"266",2020,61099,"Nate Stewart","Nate","Stewart","WR",352,2017,4,3,102,"Akron Zips",-0.025
"267",2020,100275,"Michael Mathison","Michael","Mathison","WR",124,2019,2,1,102,"Akron Zips",-0.021
"268",2020,100660,"Ricky Pearsall","Ricky","Pearsall","WR",79,2019,2,1,110,"Arizona State Sun Devils",0.015
"269",2020,84117,"Michael Woods II","Michael","Woods II","WR",635,2018,3,2,111,"Arkansas Razorbacks",0.104
"270",2020,61166,"R.J. Sneed II","R.J.","Sneed II","WR",581,2017,4,3,118,"Baylor Bears",0.064
"271",2020,97287,"Trevor Wilson","Trevor","Wilson","WR",129,2019,2,1,126,"Buffalo Bulls",0.083
"272",2020,100647,"Makai Polk","Makai","Polk","WR",176,2019,2,1,130,"California Golden Bears",0.003
"273",2020,61272,"Trey Blount","Trey","Blount","WR",38,2017,4,3,173,"Georgia Bulldogs",-0.003
"274",2020,55196,"Chris Bacon","Chris","Bacon","S",330,2017,4,3,175,"Georgia State Panthers",-0.09
"275",2020,78017,"Marquez Ezzard","Marquez","Ezzard","WR",150,2018,3,2,176,"Georgia Tech Yellow Jackets",0.008
"276",2020,38411,"Melquise Stovall","Melquise","Stovall","WR",263,2016,5,4,180,"Hawaii Warriors",-0.036
"277",2020,84215,"Carlos Sandy","Carlos","Sandy","WR",51,2018,3,2,187,"Illinois Fighting Illini",-0.012
"278",2020,122560,"Tristan Golightly","Tristan","Golightly","WR",86,2020,1,0,198,"Kansas Jayhawks",-0.018
"279",2020,99248,"Trey Palmer","Trey","Palmer","WR",151,2019,2,1,211,"LSU Tigers",0.008
"280",2020,129503,"Nick DeGennaro","Nick","DeGennaro","WR",7,2020,1,0,215,"Maryland Terrapins",0.004
"281",2020,75926,"Samuel Emilus","Samuel","Emilus","WR",181,2018,3,2,216,"Massachusetts Minutemen",0
"282",2020,61500,"Daiyan Henley","Daiyan","Henley","LB",360,2017,4,3,239,"Nevada Wolf Pack",0.024
"283",2020,74267,"Melquan Stovall","Melquan","Stovall","WR",420,2019,2,1,239,"Nevada Wolf Pack",-0.116
"284",2020,128232,"Tory Horton","Tory","Horton","WR",274,2020,1,0,239,"Nevada Wolf Pack",0.064
"285",2020,40901,"Rontavius Groves","Rontavius","Groves","WR",82,2016,5,4,245,"North Carolina Tar Heels",-0.03
"286",2020,97398,"Khafre Brown","Khafre","Brown","WR",303,2019,2,1,245,"North Carolina Tar Heels",-0.039
"287",2020,84346,"Lawrence Keys III","Lawrence","Keys III","WR",73,2018,3,2,258,"Notre Dame Fighting Irish",-0.02
"288",2020,122902,"Jordan Johnson","Jordan","Johnson","WR",26,2020,1,0,258,"Notre Dame Fighting Irish",-0.004
"289",2020,52125,"Champ Flemings","Champ","Flemings","WR",172,2017,4,3,265,"Oregon State Beavers",0.001
"290",2020,61593,"Justin Weller","Justin","Weller","WR",4,2017,4,3,266,"Penn State Nittany Lions",-0.003
"291",2020,101706,"T.J. Jones","T.J.","Jones","WR",93,2019,2,1,266,"Penn State Nittany Lions",-0.021
"292",2020,129807,"Maliq Carr","Maliq","Carr","WR",31,2020,1,0,273,"Purdue Boilermakers",-0.011
"293",2020,61410,"Monterio Hunt","Monterio","Hunt","WR",13,2017,3,2,278,"Rutgers Scarlet Knights",-0.004
"294",2020,121473,"Antoine Robinson","Antoine","Robinson","WR",260,2020,1,0,296,"Southern Miss Golden Eagles",-0.014
"295",2020,61692,"Nykeim Johnson","Nykeim","Johnson","WR",458,2017,4,3,304,"Syracuse Orange",0.05
"296",2020,77742,"Amare Jones","Amare","Jones","HB",264,2018,3,2,319,"Tulane Green Wave",-0.043
"297",2020,123470,"Mitchell Tinsley","Mitchell","Tinsley","WR",676,2020,1,0,346,"Western Kentucky Hilltoppers",-0.011
"298",2020,78211,"Boogie Knight","Boogie","Knight","HB",105,2018,3,2,102,"Akron Zips",-0.058
"299",2020,99564,"Yusuf Terry","Yusuf","Terry","WR",163,2019,2,1,118,"Baylor Bears",-0.023
"300",2020,84141,"Maclaine Griffin","Maclaine","Griffin","WR",50,2018,3,2,120,"Boise State Broncos",-0.018
"301",2020,78042,"Ty Scott","Ty","Scott","WR",56,2018,3,2,134,"Central Michigan Chippewas",-0.002
"302",2020,40509,"Tyler Ringwood","Tyler","Ringwood","WR",131,2016,4,3,136,"Charlotte 49ers",0.013
"303",2020,40152,"Jordan Jones","Jordan","Jones","WR",232,2016,5,4,138,"Cincinnati Bearcats",0.007
"304",2020,78041,"Jayshon Jackson","Jayshon","Jackson","WR",432,2018,3,2,138,"Cincinnati Bearcats",-0.045
"305",2020,47863,"Nate Craig-Myers","Nate","Craig-Myers","WR",173,2016,5,4,144,"Colorado State Rams",-0.016
"306",2020,77691,"Jairus Grissom","Jairus","Grissom","WR",10,2018,3,2,160,"Eastern Michigan Eagles",0.001
"307",2020,77955,"D'Marcus Adams","D'Marcus","Adams","WR",106,2018,3,2,165,"Florida Atlantic Owls",-0.02
"308",2020,78039,"Yanez Rogers","Yanez","Rogers","CB",4,2018,3,2,165,"Florida Atlantic Owls",0.012
"309",2020,61275,"JJ Holloman","JJ","Holloman","WR",192,2017,4,3,166,"Florida International Golden Panthers",-0.025
"310",2020,77953,"Warren Thompson","Warren","Thompson","WR",179,2018,3,2,167,"Florida State Seminoles",-0.025
"311",2020,84226,"Tyrone Tracy","Tyrone","Tracy","WR",218,2018,3,2,192,"Iowa Hawkeyes",-0.002
"312",2020,57246,"Johnnie Lang","Johnnie","Lang","WR",19,2017,4,3,193,"Iowa State Cyclones",-0.01
"313",2020,78139,"Wykeen Gill","Wykeen","Gill","WR",48,2018,3,2,199,"Kansas State Wildcats",-0.004
"314",2020,77969,"Tyler Harrell","Tyler","Harrell","WR",9,2018,3,2,210,"Louisville Cardinals",-0.003
"315",2020,83710,"Tylan Knight","Tylan","Knight","CB",198,2018,3,2,226,"Mississippi Rebels",0.048
"316",2020,61107,"Tyrell Shavers","Tyrell","Shavers","WR",130,2017,4,3,227,"Mississippi State Bulldogs",-0.01
"317",2020,101735,"Wan'Dale Robinson","Wan'Dale","Robinson","WR",464,2019,2,1,238,"Nebraska Cornhuskers",0.049
"318",2020,99589,"Welton Spottsville","Welton","Spottsville","CB",43,2019,2,1,245,"North Carolina Tar Heels",0.02
"319",2020,78198,"Shane Hooks","Shane","Hooks","WR",111,2018,3,2,259,"Ohio Bobcats",-0.007
"320",2020,61631,"Tyler Page","Tyler","Page","WR",447,2017,4,3,287,"SMU Mustangs",0.102
"321",2020,99198,"Trey Adkins","Trey","Adkins","WR",69,2019,2,1,289,"South Carolina Gamecocks",-0.027
"322",2020,77970,"Taj Harris","Taj","Harris","WR",572,2018,3,2,304,"Syracuse Orange",0.074
"323",2020,99693,"Tayvion Robinson","Tayvion","Robinson","WR",665,2019,2,1,337,"Virginia Tech Hokies",0.134
"324",2020,61806,"Ty Jones","Ty","Jones","WR",179,2017,4,3,340,"Washington Huskies",0.01
"325",2020,42334,"Xavier Lane","Xavier","Lane","WR",440,2016,5,4,346,"Western Kentucky Hilltoppers",-0.065
"326",2020,46511,"Tyrrell Pigrome","Tyrrell","Pigrome","QB",629,2016,5,4,346,"Western Kentucky Hilltoppers",-0.333
"327",2021,61166,"R.J. Sneed II","R.J.","Sneed II","WR",674,2017,5,4,118,"Baylor Bears",-0.01
"328",2021,122646,"Kyren Lacy","Kyren","Lacy","WR",458,2020,2,1,207,"Louisiana Ragin' Cajuns",-0.048
