"","season","player_id","offense","receiving"
"168",2020,61330,59.6,59.6
"169",2022,61330,45.8,44.6
"170",2020,61337,54,52.7
"171",2022,61337,57,58.8
"172",2020,61342,55.9,53.6
"173",2021,61342,69.8,70.2
"174",2022,61342,59,58.6
"175",2020,61350,58.2,55.3
"176",2021,61350,55.6,55
"177",2020,61360,56.3,56.2
"178",2021,61360,56.3,55.4
"179",2022,61360,56.6,55.5
"180",2020,61362,52.7,54.8
"181",2022,61362,64.4,66
"182",2020,61384,65,63.8
"183",2022,61384,67.4,71.2
"184",2020,61394,54.7,52
"185",2021,61394,64.2,62.5
"186",2022,61394,72.4,74.7
"187",2020,61395,65.5,65.7
"188",2022,61395,52.8,51.1
"189",2021,61404,67.4,68.3
"190",2022,61404,59.7,61.5
"191",2020,61410,53.1,53.8
"192",2021,61410,63.7,63.4
"193",2022,61410,69.5,68.5
"194",2020,61413,64.5,63.9
"195",2021,61413,62.7,64.3
"196",2022,61413,64.1,63.6
"197",2022,61447,48.1,48.4
"198",2020,61494,50.3,48.6
"199",2021,61494,65.3,63
"200",2022,61494,66.4,67
"201",2022,61500,79.6,87.7
"202",2020,61501,74.5,73.2
"203",2021,61501,65,66.7
"204",2022,61501,83,83.6
"205",2020,61509,59.6,59.5
"206",2021,61509,42.4,44.9
"207",2020,61513,70.6,68
"208",2021,61513,56.6,57.3
"209",2022,61513,61.7,61.4
"210",2020,61526,57.8,59.4
"211",2021,61526,64.8,65.9
"212",2022,61526,55.1,55.9
"213",2020,61528,66.1,68.9
"214",2021,61528,72.4,67.3
"215",2022,61528,78.8,80.2
"216",2021,61535,72.4,65.4
"217",2022,61535,54.4,53.4
"218",2020,61540,53.9,52.9
"219",2021,61540,45.9,46.6
"220",2022,61540,47.7,48.9
"221",2020,61544,72.6,68.5
"222",2021,61544,66.5,67.6
"223",2020,61555,61.7,68.1
"224",2021,61555,56.5,57.5
"225",2022,61555,56,57.2
"226",2020,61569,59.9,57.9
"227",2021,61569,77.5,78.8
"228",2021,61584,58,59.3
"229",2022,61584,67.9,68.7
"230",2022,61593,53.9,52.7
"231",2020,61594,54.4,56.3
"232",2021,61594,51.1,50.8
"233",2022,61594,64.1,63.5
"234",2020,61601,56.1,56.2
"235",2021,61601,50.2,51.8
"236",2022,61601,54.1,53.8
"237",2020,61631,62.8,66.1
"238",2022,61631,62.3,61.3
"239",2021,61646,57.4,56.9
"240",2022,61646,56.1,55.5
"241",2020,61671,63.5,61.1
"242",2021,61671,54.6,52.5
"243",2022,61671,62.5,63.4
"244",2020,61686,56,58
"245",2021,61686,55.5,59.8
"246",2020,61692,56.2,55.5
"247",2021,61692,68.6,67.9
"248",2020,61705,69.6,70.4
